tam_registro;orgenizacao;algoritmo;tam_entrada;tempo;comparacoes;deslocamentos
pequeno;aleatorio;insertion;20;0.000000;19;92
pequeno;aleatorio;insertion;500;0.000249;499;60800
pequeno;aleatorio;insertion;5000;0.036602;4999;6233758
pequeno;aleatorio;insertion;10000;0.146404;9999;24896141
pequeno;aleatorio;insertion;100000;14.768017;99999;-74290083
pequeno;aleatorio;selection;20;0.000000;190;57
pequeno;aleatorio;selection;500;0.000482;124750;1497
pequeno;aleatorio;selection;5000;0.049144;12497500;14997
pequeno;aleatorio;selection;10000;0.196893;49995000;29997
pequeno;aleatorio;selection;100000;19.739266;-154010755;299997
pequeno;aleatorio;quick;20;0.000001;56;75
pequeno;aleatorio;quick;500;0.000015;3411;3527
pequeno;aleatorio;quick;5000;0.000563;48876;46722
pequeno;aleatorio;quick;10000;0.001587;107736;100336
pequeno;aleatorio;quick;100000;0.018616;1422367;1231317
pequeno;aleatorio;shell;20;0.000002;74;121
pequeno;aleatorio;shell;500;0.000074;5860;10814
pequeno;aleatorio;shell;5000;0.001230;100739;203415
pequeno;aleatorio;shell;10000;0.003360;233722;488473
pequeno;aleatorio;shell;100000;0.045699;3861491;8807193
pequeno;aleatorio;heap;20;0.000003;248;218
pequeno;aleatorio;heap;500;0.000095;12904;12154
pequeno;aleatorio;heap;5000;0.001337;178774;171274
pequeno;aleatorio;heap;10000;0.002784;387607;372607
pequeno;aleatorio;heap;100000;0.036805;4874625;4724625
pequeno;aleatorio;merge;20;0.000031;64;88
pequeno;aleatorio;merge;500;0.000622;3847;4488
pequeno;aleatorio;merge;5000;0.004855;55221;61808
pequeno;aleatorio;merge;10000;0.009447;120430;133616
pequeno;aleatorio;merge;100000;0.131543;1536331;1668928
pequeno;crescente;insertion;20;0.000000;19;0
pequeno;crescente;insertion;500;0.000003;499;0
pequeno;crescente;insertion;5000;0.000030;4999;0
pequeno;crescente;insertion;10000;0.000060;9999;0
pequeno;crescente;insertion;100000;0.000613;99999;0
pequeno;crescente;selection;20;0.000001;190;57
pequeno;crescente;selection;500;0.000490;124750;1497
pequeno;crescente;selection;5000;0.048852;12497500;14997
pequeno;crescente;selection;10000;0.195980;49995000;29997
pequeno;crescente;selection;100000;19.703549;-154010755;299997
pequeno;crescente;quick;20;0.000001;54;36
pequeno;crescente;quick;500;0.000018;3498;765
pequeno;crescente;quick;5000;0.000241;51822;8856
pequeno;crescente;quick;10000;0.000504;113631;17712
pequeno;crescente;quick;100000;0.006206;1468946;196605
pequeno;crescente;shell;20;0.000001;42;0
pequeno;crescente;shell;500;0.000012;2457;0
pequeno;crescente;shell;5000;0.000160;35084;0
pequeno;crescente;shell;10000;0.000346;75243;0
pequeno;crescente;shell;100000;0.004339;967146;0
pequeno;crescente;heap;20;0.000002;273;243
pequeno;crescente;heap;500;0.000094;13815;13065
pequeno;crescente;heap;5000;0.001279;190299;182799
pequeno;crescente;heap;10000;0.002747;410871;395871
pequeno;crescente;heap;100000;0.033096;5102565;4952565
pequeno;crescente;merge;20;0.000013;48;88
pequeno;crescente;merge;500;0.000362;2272;4488
pequeno;crescente;merge;5000;0.005658;32004;61808
pequeno;crescente;merge;10000;0.012485;69008;133616
pequeno;crescente;merge;100000;0.116602;853904;1668928
pequeno;decrescente;insertion;20;0.000002;19;190
pequeno;decrescente;insertion;500;0.000734;499;124750
pequeno;decrescente;insertion;5000;0.072347;4999;12497500
pequeno;decrescente;insertion;10000;0.291309;9999;49995000
pequeno;decrescente;insertion;100000;29.998797;99999;-154010755
pequeno;decrescente;selection;20;0.000000;190;57
pequeno;decrescente;selection;500;0.000319;124750;1497
pequeno;decrescente;selection;5000;0.049480;12497500;14997
pequeno;decrescente;selection;10000;0.203191;49995000;29997
pequeno;decrescente;selection;100000;21.434361;-154010755;299997
pequeno;decrescente;quick;20;0.000001;38;66
pequeno;decrescente;quick;500;0.000019;3006;1512
pequeno;decrescente;quick;5000;0.000251;46834;16356
pequeno;decrescente;quick;10000;0.000541;103644;32712
pequeno;decrescente;quick;100000;0.006521;1368962;346602
pequeno;decrescente;shell;20;0.000001;60;90
pequeno;decrescente;shell;500;0.000034;4053;5412
pequeno;decrescente;shell;5000;0.000397;51491;57636
pequeno;decrescente;shell;10000;0.000965;120190;161112
pequeno;decrescente;shell;100000;0.012327;1533494;1858962
pequeno;decrescente;heap;20;0.000003;219;189
pequeno;decrescente;heap;500;0.000079;11781;11031
pequeno;decrescente;heap;5000;0.001150;167811;160311
pequeno;decrescente;heap;10000;0.002591;365091;350091
pequeno;decrescente;heap;100000;0.031149;4642305;4492305
pequeno;decrescente;merge;20;0.000013;40;88
pequeno;decrescente;merge;500;0.000362;2216;4488
pequeno;decrescente;merge;5000;0.005640;29804;61808
pequeno;decrescente;merge;10000;0.011812;64608;133616
pequeno;decrescente;merge;100000;0.117571;815024;1668928
grande;aleatorio;insertion;20;0.000007;19;92
grande;aleatorio;insertion;500;0.004068;499;61665
grande;aleatorio;insertion;5000;1.030585;4999;6235720
grande;aleatorio;insertion;10000;5.208401;9999;24989562
grande;aleatorio;insertion;100000;592.148406;99999;-77698207
grande;aleatorio;selection;20;0.000005;190;57
grande;aleatorio;selection;500;0.000622;124750;1497
grande;aleatorio;selection;5000;0.060003;12497500;14997
grande;aleatorio;selection;10000;0.263239;49995000;29997
grande;aleatorio;selection;100000;96.027117;-154010755;299997
grande;aleatorio;quick;20;0.000005;48;77
grande;aleatorio;quick;500;0.000260;3265;3553
grande;aleatorio;quick;5000;0.005036;48421;46936
grande;aleatorio;quick;10000;0.011348;105163;100880
grande;aleatorio;quick;100000;0.162334;1404000;1232721
grande;aleatorio;shell;20;0.000006;80;136
grande;aleatorio;shell;500;0.000502;5882;10894
grande;aleatorio;shell;5000;0.014784;100029;201337
grande;aleatorio;shell;10000;0.036376;234597;491093
grande;aleatorio;shell;100000;0.672644;3863407;8812749
grande;aleatorio;heap;20;0.000009;247;217
grande;aleatorio;heap;500;0.000535;12861;12111
grande;aleatorio;heap;5000;0.011334;178817;171317
grande;aleatorio;heap;10000;0.027568;387596;372596
grande;aleatorio;heap;100000;0.440603;4874813;4724813
grande;aleatorio;merge;20;0.000066;63;88
grande;aleatorio;merge;500;0.008761;3852;4488
grande;aleatorio;merge;5000;0.032634;55220;61808
grande;aleatorio;merge;10000;0.064339;120446;133616
grande;aleatorio;merge;100000;0.805080;1536333;1668928
grande;crescente;insertion;20;0.000003;19;0
grande;crescente;insertion;500;0.000054;499;0
grande;crescente;insertion;5000;0.001078;4999;0
grande;crescente;insertion;10000;0.002183;9999;0
grande;crescente;insertion;100000;0.021456;99999;0
grande;crescente;selection;20;0.000003;190;57
grande;crescente;selection;500;0.000585;124750;1497
grande;crescente;selection;5000;0.059103;12497500;14997
grande;crescente;selection;10000;0.262362;49995000;29997
grande;crescente;selection;100000;96.098596;-154010755;299997
grande;crescente;quick;20;0.000003;54;36
grande;crescente;quick;500;0.000048;3498;765
grande;crescente;quick;5000;0.001202;51822;8856
grande;crescente;quick;10000;0.002657;113631;17712
grande;crescente;quick;100000;0.033262;1468946;196605
grande;crescente;shell;20;0.000001;42;0
grande;crescente;shell;500;0.000014;2457;0
grande;crescente;shell;5000;0.000223;35084;0
grande;crescente;shell;10000;0.000522;75243;0
grande;crescente;shell;100000;0.019103;967146;0
grande;crescente;heap;20;0.000010;273;243
grande;crescente;heap;500;0.000528;13815;13065
grande;crescente;heap;5000;0.010215;190299;182799
grande;crescente;heap;10000;0.022840;410871;395871
grande;crescente;heap;100000;0.282523;5102565;4952565
grande;crescente;merge;20;0.000038;48;88
grande;crescente;merge;500;0.001524;2272;4488
grande;crescente;merge;5000;0.029314;32004;61808
grande;crescente;merge;10000;0.061639;69008;133616
grande;crescente;merge;100000;0.806365;853904;1668928
grande;decrescente;insertion;20;0.000010;19;190
grande;decrescente;insertion;500;0.008963;499;124750
grande;decrescente;insertion;5000;2.420955;4999;12497500
grande;decrescente;insertion;10000;11.337532;9999;49995000
grande;decrescente;insertion;100000;1247.568138;99999;-154010755
grande;decrescente;selection;20;0.000004;190;57
grande;decrescente;selection;500;0.000599;124750;1497
grande;decrescente;selection;5000;0.061545;12497500;14997
grande;decrescente;selection;10000;0.267976;49995000;29997
grande;decrescente;selection;100000;99.815153;-154010755;299997
grande;decrescente;quick;20;0.000003;38;66
grande;decrescente;quick;500;0.000072;3006;1512
grande;decrescente;quick;5000;0.002214;46834;16356
grande;decrescente;quick;10000;0.004816;103644;32712
grande;decrescente;quick;100000;0.055969;1368962;346602
grande;decrescente;shell;20;0.000004;60;90
grande;decrescente;shell;500;0.000257;4053;5412
grande;decrescente;shell;5000;0.006276;51491;57636
grande;decrescente;shell;10000;0.018715;120190;161112
grande;decrescente;shell;100000;0.211866;1533494;1858962
grande;decrescente;heap;20;0.000007;219;189
grande;decrescente;heap;500;0.000454;11781;11031
grande;decrescente;heap;5000;0.008812;167811;160311
grande;decrescente;heap;10000;0.020081;365091;350091
grande;decrescente;heap;100000;0.265885;4642305;4492305
grande;decrescente;merge;20;0.000041;40;88
grande;decrescente;merge;500;0.002640;2216;4488
grande;decrescente;merge;5000;0.029288;29804;61808
grande;decrescente;merge;10000;0.061785;64608;133616
grande;decrescente;merge;100000;0.804075;815024;1668928





